exposure_id,segment,country,stage,EAD,LGD,PD_12m,PD_lifetime,discount_rate,source,ECL_12m,ECL_lifetime
EXP-P89UZFK8,Retail,CN,3,4926691.13,0.3061,0.0649,0.0968,0.088,fallback,97873.10405255569,145980.22299364238
EXP-TCS4CC5O,Corporate,CN,1,1574888.0,0.2201,0.0434,0.1078,0.0905,fallback,15043.86563792,37367.02110064
EXP-7HZIOYKL,Retail,US,1,3100713.74,0.3677,0.0509,0.0875,0.0507,fallback,58032.74130787821,99761.58869232502
EXP-J755NF4Z,Corporate,CN,3,4992287.66,0.5984,0.0151,0.03,0.087,fallback,45109.51252973441,89621.54807232
EXP-EEDTJVZH,Corporate,UK,1,4087349.63,0.3198,0.0564,0.1221,0.0854,fallback,73722.38081841359,159601.11166539538
EXP-JA1WJ0TP,SME,DE,1,4527629.09,0.5384,0.0165,0.0462,0.0553,fallback,40221.645783924,112620.60819498719
EXP-FEL6246H,Corporate,FR,3,4520603.57,0.4182,0.0684,0.1092,0.0572,fallback,129311.3226474216,206444.39229676084
EXP-75935A0L,Corporate,ES,3,4421832.16,0.3626,0.0534,0.0642,0.1105,fallback,85619.2286209344,102935.47710606719
EXP-4I3QK2IA,Retail,FR,2,1341360.49,0.5149,0.0176,0.0787,0.073,fallback,12155.730686897601,54355.4548328887
EXP-9T7E8G8J,Retail,DE,2,4834776.63,0.3116,0.0549,0.0829,0.0804,fallback,82707.75024514919,124890.2093865732
EXP-6GBPS3Y7,Corporate,UK,3,3934276.61,0.3746,0.0789,0.087,0.0638,fallback,116281.24342856338,128218.86157522198
EXP-4ZKLOOKE,SME,ES,3,359169.32,0.4657,0.0331,0.0551,0.1158,fallback,5536.4765419244,9216.309893052401
EXP-4KH2VLPY,Corporate,CN,2,3743191.46,0.2696,0.0498,0.0782,0.1056,fallback,50256.3879972768,78916.6574575712
EXP-M31YIHAI,Corporate,ES,2,856760.07,0.2339,0.0461,0.0904,0.1095,fallback,9238.263915195299,18115.8147057192
EXP-NOFY6452,Retail,FR,1,2282526.68,0.5545,0.0503,0.1006,0.1063,fallback,63662.750516218,127325.501032436
EXP-Q2Y9V86W,Corporate,UK,2,2594609.17,0.2201,0.0274,0.0868,0.0799,fallback,15647.413305885799,49569.17791791559
EXP-14J1RIPZ,Corporate,FR,1,2235108.92,0.2637,0.0703,0.1018,0.0735,fallback,41434.6950209412,60000.7390203672
EXP-HOLQC3O1,Corporate,UK,1,412082.51,0.2603,0.0368,0.0475,0.11,fallback,3947.3548465903996,5095.0911742675
EXP-48P0TVHH,Corporate,ES,2,1908101.33,0.2024,0.0346,0.0873,0.052,fallback,13362.5099380432,33715.2346124616
EXP-79T6VXDP,SME,US,2,3347679.37,0.5193,0.0607,0.1195,0.0627,fallback,105523.9087382487,207744.7626724995
EXP-N13JCAT9,SME,IT,1,1901728.28,0.2847,0.0329,0.0862,0.0955,fallback,17812.7851592964,46670.5799614392
EXP-WIRE8QJN,Corporate,CN,2,210888.11,0.2124,0.0273,0.086,0.1175,fallback,1222.8389235972,3852.1665725039993
EXP-ALY8OZCY,Corporate,UK,1,581519.03,0.5277,0.0775,0.0851,0.0571,fallback,23782.2383901525,26114.4320903481
EXP-2MPNSM43,SME,DE,2,4252963.26,0.4402,0.0185,0.0874,0.1173,fallback,34634.85690046199,163626.2969243448
EXP-SXW71Q3V,Corporate,IT,1,4458959.32,0.3839,0.0207,0.033,0.1082,fallback,35434.1457970236,56489.21793728401
EXP-YMRLRMJK,Retail,CN,3,1401851.96,0.3803,0.0625,0.1024,0.1116,fallback,33320.26877425,54591.9283597312
EXP-R1YXR2DH,Corporate,UK,1,60654.06,0.5792,0.016,0.0664,0.0714,fallback,562.0933048320001,2332.6872150528
EXP-TMQLIZL0,Corporate,US,3,1851412.05,0.4214,0.0341,0.1039,0.063,fallback,26604.309791367,81061.22543469301
EXP-V93KMKZE,Retail,DE,1,3695637.22,0.3106,0.0513,0.1045,0.0887,fallback,58885.470423291605,119951.88419559399
EXP-AKRM8J5E,Corporate,DE,2,4721007.18,0.4551,0.0627,0.0699,0.0844,fallback,134712.8540496486,150182.2726964982
EXP-K9E1V2IS,Corporate,ES,2,3150934.08,0.2214,0.0204,0.0598,0.0708,fallback,14231.382828364802,41717.4849576576
EXP-08HHXFGC,Corporate,DE,2,4950255.99,0.3222,0.0535,0.0962,0.0815,fallback,85331.027678823,153436.3525738836
EXP-4CIJ2V2H,Corporate,DE,2,2354863.27,0.2131,0.0302,0.05,0.0657,fallback,15155.005157677402,25091.068141850003
EXP-L0UKEYZ7,Retail,CN,2,4542973.11,0.5307,0.015,0.0266,0.0846,fallback,36164.337442155,64131.425064088195
EXP-AIY4VA13,Retail,CN,1,2994202.94,0.5558,0.0614,0.1037,0.1034,fallback,102180.52883479279,172575.25798319236
EXP-VWRDMLY4,Retail,IT,2,2357799.11,0.4606,0.0741,0.0868,0.0986,fallback,80472.76821189061,94264.9970417288
EXP-DJE153A5,SME,ES,2,3316291.85,0.3602,0.0632,0.0658,0.0538,fallback,75494.19010018402,78599.963743546
EXP-HT7PZE9V,Corporate,FR,3,1815279.0,0.5026,0.0538,0.107,0.0611,fallback,49084.926326520006,97622.43711780001
EXP-E8XF7KZO,Corporate,ES,2,78235.58,0.3632,0.0257,0.0846,0.0671,fallback,730.2696802592001,2403.9227606976
EXP-EC14M2JA,Corporate,UK,1,731763.42,0.2762,0.052,0.1042,0.1086,fallback,10509.878943408,21060.1804981368
EXP-MTTQLGZU,Corporate,FR,2,4994522.64,0.3959,0.0204,0.0581,0.0531,fallback,40337.562868790395,114882.96091552557
EXP-2XF8E8LD,Corporate,US,2,2370151.49,0.5654,0.0367,0.1059,0.057,fallback,49181.07004476821,141914.8587940314
EXP-C2JWOCLY,SME,CN,2,86584.51,0.2577,0.071,0.1389,0.1168,fallback,1584.2108041169997,3099.2518407302996
EXP-CW790PDW,Corporate,US,1,3596399.95,0.5038,0.0711,0.0736,0.0811,fallback,128823.69356099101,133353.359298016
EXP-MPIOYGGV,Corporate,ES,2,1504335.74,0.2116,0.0327,0.0366,0.0978,fallback,10408.9803724968,11650.4183985744
EXP-JA26YFPM,SME,CN,1,4565016.79,0.2572,0.0423,0.0601,0.0947,fallback,49665.374067812394,70564.7513351188
EXP-4DNMKZA3,SME,ES,1,3454664.43,0.3827,0.0311,0.1011,0.0506,fallback,41117.3124059271,133664.3178211971
EXP-361I2HGJ,Corporate,US,3,3893774.96,0.5894,0.0737,0.1259,0.1037,fallback,169140.8338569488,288939.3620432816
EXP-LPU0DK0G,Corporate,FR,2,4193302.21,0.4513,0.0732,0.1184,0.1114,fallback,138526.4094357036,224064.5748249632
EXP-3R30ME8F,SME,FR,3,2658953.34,0.5654,0.0681,0.0861,0.1007,fallback,102379.64807549158,129440.34800733959
EXP-ATQYYV37,SME,DE,3,4836676.04,0.5218,0.0356,0.0909,0.0664,fallback,89846.4810531232,229411.3799923848
EXP-XWQZXEBB,Retail,ES,1,3101538.87,0.5773,0.033,0.0757,0.0568,fallback,59087.106858483014,135542.24209658074
EXP-8P0FODRO,Corporate,IT,1,686963.6,0.3815,0.0569,0.1089,0.0983,fallback,14912.159302459999,28540.143199259997
EXP-YT9MOGE4,Retail,ES,1,2222481.6,0.5802,0.0699,0.0769,0.0964,fallback,90134.91931996802,99161.30609020802
EXP-92H3TV3I,Corporate,US,1,3201069.66,0.5884,0.0135,0.0368,0.1052,fallback,25427.376737244,69313.14547633921
EXP-JGXAA2IL,Corporate,FR,1,24149.4,0.5434,0.0201,0.0292,0.0537,fallback,263.767957596,383.18529163200003
EXP-NVQHW06X,Corporate,IT,2,2110593.18,0.2455,0.0144,0.0458,0.095,fallback,7461.369009936,23731.298656602004
EXP-R6CCVCJW,Retail,CN,3,313518.78,0.3916,0.0381,0.0861,0.0728,fallback,4677.6876568488005,10570.8374607528
EXP-Z4X1ZHQI,Corporate,IT,2,2657478.62,0.3815,0.0524,0.0593,0.0779,fallback,53124.592100972004,60120.005946329
EXP-F7C3DD03,Corporate,CN,1,484478.34,0.3707,0.0566,0.0828,0.0911,fallback,10165.140428110799,14870.5587888264
EXP-7P6BKLDS,Corporate,FR,3,2812800.07,0.468,0.0388,0.1,0.0838,fallback,51075.948791088005,131639.043276
EXP-IPU1WYUV,Retail,UK,3,1757068.83,0.4225,0.018,0.0375,0.0687,fallback,13362.50845215,27838.5592753125
EXP-GFXC08DT,Retail,ES,2,1373619.24,0.505,0.0745,0.0991,0.0818,fallback,51678.9898569,68743.46167542
EXP-DBFWYJXR,Retail,ES,2,1856564.93,0.4886,0.0644,0.1041,0.0691,fallback,58418.375036991194,94430.94474147179
EXP-RYBOVAKH,Corporate,FR,1,577949.37,0.372,0.0298,0.0773,0.0703,fallback,6406.915536072,16619.280903971998
EXP-ZS43C5BA,Retail,DE,1,48572.23,0.4988,0.0223,0.0489,0.0903,fallback,540.2805716252001,1184.7408050436002
EXP-8G8QYNPD,Corporate,ES,2,2028070.19,0.4561,0.0303,0.0587,0.078,fallback,28027.5852538677,54297.665161783305
EXP-GSES6M03,Retail,US,1,1984875.82,0.3241,0.0338,0.0571,0.0665,fallback,21743.480960255598,36732.330261260206
EXP-C8WQUUY5,Retail,UK,3,1287281.43,0.2694,0.0207,0.0738,0.1191,fallback,7178.627876909399,25593.368952459597
EXP-PKJCSLQC,SME,US,1,4322591.91,0.4509,0.0206,0.0254,0.0554,fallback,40150.5678597114,49506.03998236261
EXP-26Q3XLRF,Retail,DE,2,3078891.86,0.4028,0.0424,0.0812,0.0572,fallback,52583.5319872192,100702.4244660896
EXP-Z9SVN7N1,SME,UK,2,4912104.05,0.2337,0.0552,0.0579,0.0537,fallback,63367.321149972,66466.8096844815
EXP-K0X65MUF,Corporate,IT,1,3240053.73,0.2264,0.0166,0.0641,0.1177,fallback,12176.8995302352,47020.4373426552
EXP-UXLEZ896,Corporate,DE,3,3314054.43,0.2516,0.0596,0.0655,0.0969,fallback,49695.4392374448,54614.954195514
EXP-8RIEC4D1,Corporate,US,3,1815522.2,0.345,0.0226,0.0376,0.1119,fallback,14155.626593399997,23550.953978399997
EXP-FGYW6ZBN,Retail,UK,1,3313026.89,0.5506,0.0533,0.0951,0.1179,fallback,97227.33388029221,173476.9127957934
EXP-L3Q4N89Q,Corporate,IT,2,1431790.38,0.4994,0.0414,0.0788,0.0852,fallback,29602.495192960796,56344.8459228336
EXP-JX5TD44K,SME,US,1,4831678.08,0.5268,0.0661,0.0758,0.0691,fallback,168246.18162915844,192935.86335083522
EXP-QMABSI9N,Corporate,DE,1,745269.79,0.375,0.0762,0.0917,0.1152,fallback,21296.08424925,25627.964903625005
EXP-3ZEZQACJ,Corporate,US,1,3253303.81,0.5166,0.0196,0.0397,0.0884,fallback,32940.8722656216,66722.07290536619
EXP-EIXWC4RT,Corporate,UK,2,3048311.69,0.3693,0.0643,0.0809,0.0903,fallback,72385.17890762309,91072.48792576531
EXP-OXD9CSS9,Corporate,CN,1,726448.43,0.3717,0.053,0.0698,0.0773,fallback,14311.106715843,18847.4575238838
EXP-MCIXDU1E,SME,IT,2,227236.78,0.3548,0.0361,0.0884,0.0737,fallback,2910.5123045384,7127.127083689601
EXP-W3C1QKBH,Corporate,DE,1,883694.74,0.5117,0.0425,0.0912,0.1153,fallback,19217.930434465005,41239.41777936961
EXP-XK5BXJ2P,Corporate,ES,3,1997138.04,0.5262,0.0431,0.0457,0.0808,fallback,45293.532979528805,48025.8574748136
EXP-2JCPP9GK,SME,DE,1,1701792.78,0.2747,0.0584,0.0841,0.073,fallback,27300.976637294403,39315.2762876106
EXP-MB5M9J98,SME,DE,3,1539414.32,0.441,0.0398,0.0881,0.0946,fallback,27019.492261776002,59809.47910207201
EXP-4YPEIXN8,SME,DE,2,2570299.24,0.5,0.0212,0.0234,0.0607,fallback,27245.171944,30072.501108000004
EXP-TOXIE0RN,SME,CN,1,4744629.41,0.3488,0.0634,0.1036,0.0683,fallback,104922.3552023872,171450.4100783488
EXP-9HECGZ93,SME,US,1,3523148.68,0.2858,0.0528,0.1014,0.0967,fallback,53165.1591368832,102101.2715242416
EXP-Z7W2SEHE,Corporate,US,2,334046.0,0.4169,0.0724,0.132,0.0518,fallback,10082.697483760001,18382.8186168
EXP-5COZROOU,Corporate,FR,1,2865664.26,0.387,0.0788,0.0879,0.095,fallback,87390.15100725599,97482.160831698
EXP-TV1ES53S,SME,IT,1,2334507.67,0.4069,0.019,0.077,0.0613,fallback,18048.312247536996,73143.16016107099
EXP-CH8JWWDX,Corporate,CN,2,1135096.72,0.579,0.0463,0.0662,0.0608,fallback,30429.332340743997,43508.03025825599
EXP-B5C81JHU,Corporate,CN,3,3126151.15,0.5608,0.0336,0.0983,0.0521,fallback,58905.690981311986,172334.20903163598
EXP-3OQYFOQM,Corporate,FR,1,2732431.64,0.4568,0.0311,0.0482,0.1103,fallback,38818.235445027196,60162.0240659264
EXP-NULQJIDK,SME,ES,2,3673656.78,0.5443,0.0783,0.0875,0.0793,fallback,156566.4394732182,174962.496218475
EXP-F9Q5RDOQ,Retail,FR,1,4069254.45,0.5735,0.0605,0.0738,0.0908,fallback,141189.9043380375,172228.34611813503
EXP-QT4P501N,Retail,ES,1,262196.62,0.398,0.0718,0.1176,0.0899,fallback,7492.635491768001,12272.060359776
EXP-T3WVEDN9,Retail,CN,1,1818993.64,0.3154,0.037,0.0685,0.1028,fallback,21227.291980071997,39299.175692836
EXP-Z2SF6F7L,Retail,ES,2,3016290.13,0.3606,0.0128,0.0155,0.1018,fallback,13922.230027238398,16858.950423609
EXP-URALDOL6,SME,US,3,2972686.03,0.4029,0.0457,0.08,0.094,fallback,54734.670707955884,95815.61611896
EXP-UZVGWW4F,Corporate,UK,1,2378205.17,0.5868,0.0648,0.1191,0.0522,fallback,90430.39543538878,166207.71753633957
EXP-YO1750CE,Corporate,FR,2,558378.65,0.2076,0.032,0.0426,0.0728,fallback,3709.42104768,4938.166769724
EXP-TTY5Y2JR,Corporate,FR,1,2397071.21,0.3507,0.077,0.1092,0.0891,fallback,64730.271247719,91799.2937694924
EXP-YRRU7ZKU,Retail,CN,2,4708012.88,0.5929,0.064,0.1133,0.1127,fallback,178648.373539328,316263.44878134155
EXP-KZMPJRHT,SME,CN,3,4093703.53,0.5818,0.0663,0.0866,0.069,fallback,157907.8181218902,206256.6674110964
EXP-TWBOZD1A,Retail,CN,1,3082228.4,0.4347,0.027,0.0739,0.0785,fallback,36175.80650795999,99014.52225697199
EXP-X6DUT076,SME,FR,2,2392468.12,0.2798,0.0775,0.1,0.1118,fallback,51879.47494814,66941.25799760001
EXP-G05KBKV7,Retail,IT,1,4670273.83,0.2145,0.0685,0.1237,0.0818,fallback,68621.5009526475,123919.4112093795
EXP-QGEFQJG0,Corporate,US,1,2721069.41,0.3976,0.0757,0.1353,0.0897,fallback,81899.61784439122,146380.6908103848
EXP-SDYGFLIJ,Retail,FR,2,885719.62,0.5425,0.0728,0.1307,0.1028,fallback,34980.61067228,62801.72822619501
EXP-YCELOS6Z,SME,IT,3,1516709.74,0.4892,0.0108,0.0566,0.0582,fallback,8013.323571926401,41995.7513121328
EXP-Q9NZ6123,SME,US,1,1844044.08,0.2883,0.077,0.1105,0.0976,fallback,40936.118936328,58745.988863172
EXP-CUCTSUFL,Corporate,CN,2,4366943.94,0.2327,0.0413,0.0906,0.0581,fallback,41968.55840480941,92066.61964832281
EXP-CEOUUYLA,Retail,IT,1,3587420.65,0.3955,0.0729,0.1041,0.1022,fallback,103432.33280976751,147699.6686625075
EXP-C69QKGEX,Corporate,UK,3,374417.33,0.3695,0.059,0.0969,0.1175,fallback,8162.485002664999,13405.844012851501
EXP-NYXTXMGT,SME,CN,1,4964354.43,0.353,0.0709,0.1344,0.101,fallback,124246.373367711,235524.86009337596
EXP-ZPNIQFG5,Retail,US,1,4175759.84,0.5025,0.0785,0.1109,0.0523,fallback,164718.06658859996,232703.61254363996
EXP-HDBVZB0O,Corporate,FR,2,2102010.59,0.5064,0.0719,0.073,0.0652,fallback,76534.54190359439,77705.44588264798
EXP-UU13I59S,Retail,ES,1,709276.52,0.5974,0.0264,0.0905,0.0693,fallback,11186.255336467202,38346.822270844
EXP-PR97Y2LO,Corporate,FR,1,4743116.07,0.5519,0.0738,0.1176,0.0764,fallback,193188.1610166354,307844.5492622808
EXP-36U8UEIH,Corporate,UK,1,2372858.91,0.5397,0.0311,0.0806,0.1146,fallback,39827.6537609097,103218.9354703962
EXP-YV5G10UR,SME,US,1,471395.34,0.4898,0.0233,0.0421,0.0712,fallback,5379.723894495601,9720.4453200972
EXP-16ZZOILK,Retail,ES,2,1066920.78,0.276,0.0619,0.1142,0.0954,fallback,18227.701373832002,33628.489448976004
EXP-9Q46NOUH,SME,FR,1,1315192.52,0.4051,0.0448,0.0517,0.0683,fallback,23868.7451453696,27544.958125348403
EXP-N4RXYJ38,Corporate,UK,3,2899923.2,0.367,0.0207,0.0438,0.0843,fallback,22030.426558080002,46615.10547072
EXP-G698S4C3,Retail,DE,1,3666533.46,0.3409,0.0198,0.0581,0.0789,fallback,24748.4408789772,72620.4250034634
EXP-NWYWRRAT,Corporate,DE,1,1164852.63,0.4829,0.0106,0.046,0.0871,fallback,5962.5777512862,25875.337411241995
EXP-P7G7SIWJ,SME,IT,1,2683333.13,0.3147,0.0452,0.0941,0.1056,fallback,38168.9111076972,79462.2684786351
EXP-IY4X41DN,Retail,CN,2,1871527.4,0.3624,0.0496,0.1189,0.0539,fallback,33640.779876096,80642.917888464
EXP-L9967I6Y,Retail,CN,2,3517197.3,0.2331,0.0692,0.1143,0.069,fallback,56734.221391595995,93709.848339009
EXP-G4AHF337,Retail,IT,1,3425299.43,0.3121,0.048,0.0941,0.0895,fallback,51313.725700944,100596.28309289229
EXP-1F90S9BP,Corporate,US,1,4174906.29,0.3557,0.0728,0.096,0.0738,fallback,108109.03138329842,142561.360065888
EXP-J9RM7PYX,Corporate,DE,2,4774743.4,0.3587,0.0641,0.0662,0.0707,fallback,109784.09933087802,113380.77029179601
EXP-W0LDALMJ,Retail,FR,1,3568411.58,0.2328,0.0208,0.0706,0.0631,fallback,17279.1052891392,58649.2708371744
EXP-TV25AO20,SME,CN,1,2789355.31,0.405,0.0172,0.0235,0.09,fallback,19430.649089460003,26547.689162925002
EXP-FGJK2N7Z,Retail,ES,2,3429726.8,0.2678,0.0288,0.0476,0.0932,fallback,26452.248106751995,43719.687843103995
EXP-W2LM349E,SME,IT,2,543792.11,0.3219,0.0764,0.0997,0.1163,fallback,13373.566367967598,17452.1540168373
EXP-0W82LK2N,Retail,CN,1,2400258.61,0.2711,0.0379,0.0602,0.0915,fallback,24661.9131375809,39172.74857209419
EXP-7H23C42Y,Corporate,FR,3,907836.79,0.507,0.0119,0.0628,0.0712,fallback,5477.251705107001,28905.160258884
EXP-9ROS7YT2,SME,IT,3,3296728.21,0.4861,0.0652,0.0704,0.1127,fallback,104485.58080384119,112818.7866348224
EXP-XFWUXX8L,Corporate,US,2,2973161.52,0.5658,0.0177,0.0351,0.0574,fallback,29775.2017478832,59045.7390593616
EXP-UQO1VSMA,Retail,DE,1,1301104.47,0.4043,0.0463,0.0869,0.0791,fallback,24355.491673332297,45712.5750845049
EXP-QHRRPZLK,Retail,US,3,589186.0,0.5763,0.0199,0.0417,0.0581,fallback,6757.00304682,14159.14708806
EXP-IGFU8IOG,SME,UK,3,3243369.89,0.4709,0.0215,0.0904,0.0802,fallback,32837.0119458215,138068.18046057038
EXP-AHKZ2U2T,Retail,IT,1,3689567.96,0.5532,0.0415,0.0716,0.0638,fallback,84704.36331208801,146140.5400757952
EXP-VWVM4W3Z,Retail,IT,2,1319143.44,0.5451,0.0469,0.0916,0.0913,fallback,33724.1526808536,65866.3621655904
EXP-YSPENGWY,Corporate,UK,1,678399.37,0.2471,0.0314,0.0442,0.0888,fallback,5263.660007867799,7409.3558072534
EXP-58RHNUXO,SME,ES,2,1451285.52,0.2748,0.0689,0.1123,0.0997,fallback,27478.233675734402,44786.7291986208
EXP-KJTGQ01T,SME,DE,2,2448610.56,0.2331,0.0122,0.0655,0.058,fallback,6963.407682739201,37385.508460608
EXP-ZT9D31K9,Corporate,ES,1,4118181.21,0.3467,0.0676,0.0705,0.0744,fallback,96517.48356427318,100658.02649824349
EXP-3VMZWFFH,Retail,FR,1,2200958.82,0.5976,0.0643,0.0809,0.0899,fallback,84573.33931049758,106407.2029583088
EXP-KJ49YD82,Corporate,DE,1,1412614.24,0.4155,0.0327,0.082,0.1107,fallback,19192.977786744,48129.17977104
EXP-I4OFWWNC,Retail,US,1,3510118.37,0.2531,0.0202,0.0427,0.0782,fallback,17945.9013808294,37935.147968386904
EXP-LA100QXM,Corporate,DE,2,1398346.18,0.5745,0.0358,0.1023,0.0778,fallback,28759.925718677998,82182.692765943
EXP-TE4261BW,SME,US,2,4125989.76,0.3979,0.0326,0.0525,0.0511,fallback,53520.441211430385,86190.89458895999
EXP-YEXF7JXJ,Retail,IT,3,2212016.88,0.2003,0.0771,0.0913,0.1133,fallback,34160.4642400344,40452.0153711432
EXP-PDDHCVSQ,Retail,DE,3,268418.5,0.4502,0.0608,0.1137,0.0741,fallback,7347.19412896,13739.73638919
EXP-N0DL5E11,Retail,FR,3,4940893.0,0.3689,0.0193,0.0243,0.1195,fallback,35178.02175461,44291.498893109994
EXP-MH07WPH6,Retail,FR,1,351373.92,0.4253,0.0527,0.0642,0.0913,fallback,7875.452594875199,9594.0048688992
EXP-XIVZK7A4,SME,IT,1,1764162.85,0.3718,0.0654,0.0827,0.0862,fallback,42896.889895002,54244.232329000995
EXP-2INIWC5A,Corporate,IT,1,951346.15,0.3567,0.0552,0.1101,0.0592,fallback,18731.853478116,37361.903404720506
EXP-9CVAH78O,Corporate,IT,3,2110109.04,0.4185,0.0221,0.0551,0.0999,fallback,19516.081994604,48657.742891524
EXP-FDC79FLV,SME,US,3,2123640.42,0.3609,0.0548,0.0924,0.0977,fallback,41999.9161512744,70817.3768682072
EXP-I7EWBXXG,Retail,DE,3,1557745.77,0.375,0.0767,0.0934,0.0596,fallback,44804.662709625,54560.04559425
EXP-ZGE2J51B,Retail,US,2,827524.83,0.5812,0.0466,0.1014,0.069,fallback,22412.6162937336,48769.08352327441
EXP-SB4GF16Y,Retail,DE,1,1322118.76,0.59,0.0539,0.0886,0.1019,fallback,42044.69868676,69112.43606024
EXP-NF74T60P,Retail,IT,1,229749.16,0.5452,0.0271,0.0601,0.0791,fallback,3394.5254590672002,7528.080446123201
EXP-YBISBO55,Corporate,US,1,1606476.34,0.5304,0.05,0.0584,0.0729,fallback,42603.752536800006,49761.1829629824
EXP-0IN8910T,Corporate,US,1,2289163.42,0.3476,0.0304,0.0853,0.0605,fallback,24189.6814256768,67874.3363687576
EXP-AM1N0LH9,SME,ES,2,129312.18,0.4166,0.0545,0.103,0.1173,fallback,2935.994253246,5548.7597813639995
EXP-SZN9DDE3,Retail,DE,2,3561145.85,0.2372,0.0745,0.1373,0.0897,fallback,62930.432773689994,115977.83113862602
EXP-7O3LQI7E,SME,US,2,3315595.2,0.2523,0.0304,0.09,0.0576,fallback,25430.349936384006,75287.22020640002
EXP-8HLJEFY3,Retail,UK,2,830231.15,0.3864,0.0385,0.076,0.0528,fallback,12350.850679860001,24380.90004336
EXP-BK3G84UT,SME,DE,2,750135.75,0.4845,0.0778,0.1055,0.0571,fallback,28275.691974074998,38343.0013273125
EXP-HOY7DV7C,Retail,DE,1,616051.74,0.2247,0.0647,0.0803,0.1132,fallback,8956.2156407766,11115.6741260334
EXP-E7B7P0RN,SME,ES,1,4048400.34,0.2368,0.0693,0.1259,0.0748,fallback,66435.2211954816,120695.44514446081
EXP-WXR5RDNP,Retail,UK,2,1382159.03,0.3784,0.0204,0.0634,0.0674,fallback,10669.383129820802,33158.7691387568
EXP-TR6SNGLH,Corporate,US,1,3976282.76,0.5958,0.0647,0.0898,0.0541,fallback,153278.78166599758,212742.42030303838
EXP-DXJ37C9H,SME,US,2,2651867.14,0.5067,0.08,0.1482,0.0748,fallback,107496.08638704002,199136.50003199163
EXP-6BZ8UUG9,Retail,ES,2,888740.83,0.437,0.0664,0.1152,0.0716,fallback,25788.414915944,44741.346360191994
EXP-RLW3MG25,SME,DE,1,199439.07,0.2225,0.0521,0.0535,0.0603,fallback,2311.9475592075005,2374.0728295125004
EXP-8N7ODKEF,Corporate,ES,3,4586948.5,0.5097,0.0693,0.1295,0.1172,fallback,162021.158176185,302766.810733275
EXP-WMX3N0KG,Corporate,DE,3,1593244.13,0.4829,0.0493,0.1116,0.1164,fallback,37930.3152055861,85862.53908607319
EXP-L3WXDRLC,SME,IT,1,4255277.26,0.5083,0.0497,0.0624,0.0618,fallback,107498.98433352259,134968.5437104992
EXP-AHYM2ZBP,Retail,ES,1,4110092.41,0.468,0.0611,0.0846,0.1119,fallback,117527.27044546802,162730.066770648
EXP-2U1IQ2BA,SME,IT,1,4410035.59,0.3405,0.0363,0.0943,0.0552,fallback,54508.7013977385,141602.4942646485
EXP-9M96ZPXV,Retail,ES,1,4440777.03,0.2644,0.0153,0.0812,0.0537,fallback,17964.3641349996,95340.28547463841
EXP-0JKIBU4F,SME,IT,1,1035696.88,0.276,0.0588,0.1093,0.0799,fallback,16808.117526144,31243.660639584
EXP-HW9RE2Q6,SME,IT,1,4121247.56,0.45,0.0436,0.0504,0.0949,fallback,80858.87712720002,93469.89466080001
EXP-JQIJC1YD,SME,IT,2,932557.29,0.5542,0.0359,0.0671,0.079,fallback,18553.954679236205,34678.840082917806
EXP-8Y7UIKO4,Corporate,DE,2,1145288.67,0.2244,0.0371,0.0737,0.09,fallback,9534.803047030799,18941.1047052876
EXP-1G983EP9,Corporate,ES,1,4004247.18,0.471,0.0534,0.0618,0.1198,fallback,100712.42252305201,116554.826066004
